Hotel Name,Location,Price,Rating,Score,Review,Link
Hanoi Tunger Grand Hotel,"Quận Hoàn Kiếm, Hà Nội", 635.360,10,sắc,16 đánh giá,https://www.booking.com/hotel/vn/hanoi-nostune-grand.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1417997201_413475076_2_0_0&highlighted_blocks=1417997201_413475076_2_0_0&matching_block_id=1417997201_413475076_2_0_0&sr_pri_blocks=1417997201_413475076_2_0_0__63536000&from=searchresults
Sheraton Hanoi West,Hà Nội, 2.650.000,"8,4",tốt,148 đánh giá,https://www.booking.com/hotel/vn/sheraton-hanoi-west.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=29932667_285695258_2_2_0&highlighted_blocks=29932667_285695258_2_2_0&matching_block_id=29932667_285695258_2_2_0&sr_pri_blocks=29932667_285695258_2_2_0__265000000&nad_id=4fd67549-e891-4ed3-a4a9-10a9098b3f82_0&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDk4NjIxMjc0MjUsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiUFhSM1lFSGRDc0xNT1VFb0NpaDlscTNZYnJQL3lwWTVDZXhyZ0pHbm94d2lpdjAxc1lNRk1Jc09ISnZDYTQwTjdtS2NjR21Hb3FoY1R6OEtsREpMamtHdUNYdU1VRlhVK0RXNU9ydUlUOUMxSnUxREJkeGtPU29PZzlmQ1VhcnhoRGdUK09rVC9GYWt0RjdFWHlPdU9GTXBEak9Ib3pUVm9RSUlUcjUvMU1tVW51WVA3bmhXTjBrcjhlZStDYm9IamkycFJBU2QrNGxuZkZYOUY4ZTFVcG1TK2xNa3l0aWZ1VUZGMUlRdGl5QmZiTXkwRjRoQ1lQNEtsNVBNbVFzd0NrYjNzZkVnSkt3V0tJL0xCcUJNUW1oRG9laHJBZU1STlA4K0QvZHl3MTdpdUE0SGJ5ZldQaTRGb3NlU2ovQU1sNUFzQ0VKZHkwMDFaK0R2SzVjWUdZYWJhZUZhOVdkKzIxcjNtenlnVU1SNWt6b1ZjNDFlRkczOXQ1ZjhmaHJBN0g5ZnNLOTFQQktmUHdVQ0M5TktqSlBaczRsSlhDakwrZlNZeGErTWRMWk1JeGlGcUZiQ29pcnNydXhVcmVyZ0FQMm04MFE5ZStPUGhtZWV5RzVheTNFaXlSdHBsS2FYbE1mVmc3cDlIVkdKUFBDdkRVcXpqTUxYeHV0N3EwbnkwTmFYSkZjUjV3ZDJCaElHeXQvQ1ExVWpkTlFCV3FoVS9qY2FJeDFXU2pTdXd3d0NoQWpTeFo0N1B4WUk5SjZ0QzhuT3ZYZVJ4SkJDc0lUY0ppVEdLY0UvUnNRT3JaeFJrMjl0NzRUWE9kTC96bjBTNHFUZVR5dWp0VlQ2czRmbEZSSFJKSnNqdkw0dEFYMnRxcC9TK3QzM1BmOXhYY3BMdDIyai9STzlaNnc1cmp3ZURVZW1nZjNRZE5NVEluUkVWTGNFckFzR3FnTGR3TEd0YTdYNHEwcjFWSEx3aWFGVFZnZEc5UzVCTjhJT01Pd3N4a1J1eGo4RTdwckJZY29MZWFkMzZNOEFYTEdrbEk4RVI3ZWdhWnlyV2t6TkpsZlpQcjFaeU44cTJnZ1dwWWdpNDNaV2JQNisxRFRvWGhuTXZackpVYWlYWFZ6QkdKanlsMnh4cElUSVdWU1FhazdWRzFJdld1MGhnQ2F6d29NeE4rcTltSTFiejFTL0RwK0EzVW9ORERMYjNZU2xPNzJCNFkwM1llejFOSGtNeGpmSGcrelRHU2VEaHIxYi9TenlWa09pN3k0bUgybFZ3K0Vtb01ISkk0aUpuQ3Zla01OdWxyRVhSYk9RcU50WjFWNlFjeElGMXUyQmdUUDNGMGhISHZaeThMVUEwUHVZcSs4NWZEaHFZM3lubGFpY0hFWFpiV3NuN0RDNkF4Wkd6MmZobkJXRkxWMXlTOXpEM1NsM0xsUTQ5OCtUd25FeWNpaktNWEwrYVVsUUV2MnlkZHNVdEhObnRJaG1RdTI0Z0p6NUVLTjJNeVN4QUdiNkRCck5vOHFJNkxQbXdWN1FxR0RtVDQ5bjd5RkNFcnVYcTg3aEZ3eU1XbGxkdmk5cU9iZk1ycGxzS1MzV1NMWlo4SmpUYkNBd2J0REJFMDhjcjJHWHlZbGdKU2E0M0NhQkFmY2VzMm5BbnZzTzZvOEpEV1RYUVNVaVBpZWVBcnJEWkRqOWo2Z01DZ1l5bThVYWV5cmpoWVhpWnVVZUJqMWZpdVBPRndBOHRBSWZadnJuZ1BvVXREdFJiYktRb1JqaWdhbVJyNlJIMWlVYUtIeXJlRzlGSUpKMkxnTUtFN1kvMDI4WFB2OW9SMkhWQ1ZQL3VDVlg5OXR2bERvcUhiRTZsYTFLNU1TZGoyNklweUQ4eWNJQ2tZT2FrWGdtRjh0S3MrbjNOelpyTDJlVFBOWHBwdVRtQU5jSWs3NFhTL0pEMFBlVHhkK3dDMHhvNTlpMXBvbUhVSHRkSjJiNlNPZE9YUk5odEFQK2tnYlJVb2FwTTBoNnM1R2ZyVW9GMmxwTFhhZEQ3a0RSSU1GbDlSV25SVllleUlJNnJsYWtpdHhGODFLd2VYdDNpcnJTRmxkY3EwdFhtYit3QURTK28rUFVDODdwWGZ2WG1jUGhBMk5YSUs2K0J1bUtncWN4MW5NTWxqYndJOVFrcmtZc3EvQ1dqOXBmSkl5SUFRMWwzZlpGaCtKenlteXFnc3RMdzJwMXZTbkxoYVVmRkh2bUR0ckUzSjZNWE9RWTVvL0RCRnd6THU4VDlXK2ZqOTEwc0praWJEdStyR2NRZVZQMjNyWGNETTU5alROVERvRlIzVFo5bnBkYTZRMnhpNzk2R3BLbWJkUUl6RER0QUhaeWJaTStmb2dZazVyZWJLN2RSam5hY0s0YUNOSTBTZVR6czlRZkZwUXJXN1dwRWxqSHQ4ZTYydi94YkZxVWRrUEtMY0loNG5IVDhObGJSWWRaUnJOUGRLTWs4SmRub3Q3bDU3K1p5TjFJY0hFcjQ2V2NPUUozZGFjUytkVmFNUTRHdXFNQ2xkdlp6ZFdGTnBmSFgyRnVocENFOTdxemNNTkRYNmN5YmsybmZlM1R2Mkxnd2c5dTFnQXB0TE42UVI2d2xxL1FHUnlrbVB1Z2pRbm5KOEdsNC8yOXdsTVhYNkVMRk1ObllZa04rckVMaVJzeTdLMDV5N0pmVFVObDFqaGVzRUdBSlhrY0ErazBUQWxReEdKVyt3WnZaMUNEc3VhMlYyT2F2aWMvaG9pOU44MFk0MS9GZlhENTZ5eW5jMytrdXhuSEpMREJNMkdQZTFYZzhDNVVTVExrVE9IdDJrRWMzaW8veEgrbEdwY3BBeXg2b0w3bllYdmEybjA3SGJPMk54S2lHYVVEMTl2cjlVb3d2bmRvMnV2MG9QbVlyS2RIT0cxYkJwNnF1R3ZTelZVRU83UksxTDNKSGdjMjRQSHA2d282cCtsYWJTeEkreEF5ME9WZVY4eHVVYWxiQW5FT1VYWGVtUXBWeXgwTDhRV3ZOSVpaU1VETWpwTU5OY21aSmJURkJzUzc4VmVVM3k1N1NqN0JVaE1CTndybUJXaURFZ1RsSFZwOS9BN3J0MzdBdUVOdkt3VWhGbFpFQTRpTFZVd3FJNGhuUFA3elpOWUNNVnpyWFVyVXUwM0p1TVBGeEJYQldiN2lTa3ZkMVlSNFV0a2VCaDVaclRrVlc0S3pLRVdDbDhsOXlYaFRidGhuNHNXZ3krU2wyVEJhNm51K1ZkcGJ3Wmp2Y1VLdkVVdnhiUldwL2xZdmtlZkFiMXdQUnlNY0pvVFVNV1ZGQzBDb2xSbnZtdDFVRFVYU0lkNTVrNFlueDdDRVprTWtNN2tIS09teDlWMHdpWnJVMWFzbm95QlB1SHRnNlJvVEdJOG92MERHMzBzbDBQVT0ifQ%3D%3D&from=searchresults
Golden Sail Hotel & Spa,"Quận Hoàn Kiếm, Hà Nội", 513.000,"8,2",tốt,3.064 đánh giá,https://www.booking.com/hotel/vn/golden-sail.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=401875001_403951855_0_2_0&highlighted_blocks=401875001_403951855_0_2_0&matching_block_id=401875001_403951855_0_2_0&sr_pri_blocks=401875001_403951855_0_2_0__51300000&from=searchresults
Hương Rừng 105TM1,"Cau Giay, Hà Nội", 432.000,Không có đánh giá,Không tìm thấy điểm số,Không có nhận xét,https://www.booking.com/hotel/vn/huong-rung-105tm1.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1435617201_415066389_2_0_0&highlighted_blocks=1435617201_415066389_2_0_0&matching_block_id=1435617201_415066389_2_0_0&sr_pri_blocks=1435617201_415066389_2_0_0__43200000&from=searchresults
Sky view-Cozy 2 BR-Times City-near Old Quarters,"Quận Hai Bà Trưng, Hà Nội", 518.400,Không có đánh giá,Không tìm thấy điểm số,Không có nhận xét,https://www.booking.com/hotel/vn/sky-view-cozy-2-br-times-city-near-old-quarters-hai-ba-trung.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1434693401_414989907_2_0_0&highlighted_blocks=1434693401_414989907_2_0_0&matching_block_id=1434693401_414989907_2_0_0&sr_pri_blocks=1434693401_414989907_2_0_0__51840000&from=searchresults
Dfour HaNoi Westlake - Vintage studio apartment,"Quận Tây Hồ, Hà Nội", 800.000,Không có đánh giá,Không tìm thấy điểm số,Không có nhận xét,https://www.booking.com/hotel/vn/dfour-ha-noi-west-lake-studio.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1434852401_415004052_2_0_0&highlighted_blocks=1434852401_415004052_2_0_0&matching_block_id=1434852401_415004052_2_0_0&sr_pri_blocks=1434852401_415004052_2_0_0__80000000&from=searchresults
TimesCity Homestay - 1 Bedroom,Hà Nội, 1.200.000,Không có đánh giá,Không tìm thấy điểm số,Không có nhận xét,https://www.booking.com/hotel/vn/timescity-homestay-1-bedroom.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1436935101_415183303_2_0_0&highlighted_blocks=1436935101_415183303_2_0_0&matching_block_id=1436935101_415183303_2_0_0&sr_pri_blocks=1436935101_415183303_2_0_0__120000000&from=searchresults
Nesta Serviced Apartment,Hà Nội, 920.000,Không có đánh giá,Không tìm thấy điểm số,Không có nhận xét,https://www.booking.com/hotel/vn/nesta-serviced-apartment-ha-noi.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1436564401_415150884_2_0_0&highlighted_blocks=1436564401_415150884_2_0_0&matching_block_id=1436564401_415150884_2_0_0&sr_pri_blocks=1436564401_415150884_2_0_0__92000000&from=searchresults
Louis - Căn hộ 2 ngủ phố Đội Cấn,Hà Nội, 880.000,Không có đánh giá,Không tìm thấy điểm số,Không có nhận xét,https://www.booking.com/hotel/vn/louis-can-ho-2-ngu-pho-doi-can.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1436732101_415167215_4_0_0&highlighted_blocks=1436732101_415167215_4_0_0&matching_block_id=1436732101_415167215_4_0_0&sr_pri_blocks=1436732101_415167215_4_0_0__88000000&from=searchresults
La Casa Di Dicembre 18 Hàng Cháo,"Quận Đống Đa, Hà Nội", 270.000,"8,8",vời,28 đánh giá,https://www.booking.com/hotel/vn/la-casa-di-dicembre-18-hang-chao.vi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9oYW5vaSwgdmlldG5hbUgzWARo9AGIAQGYASq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Au6Ns8IGwAIB0gIkZTk5OTYzMTctNzE3My00ZWMwLThmMzEtYjJmZmEwZDI5OTNh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-22&checkout=2025-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=af4005b7118e047d&srepoch=1749862128&all_sr_blocks=1391832614_411151184_2_0_0&highlighted_blocks=1391832614_411151184_2_0_0&matching_block_id=1391832614_411151184_2_0_0&sr_pri_blocks=1391832614_411151184_2_0_0__27000000&from=searchresults
